"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"AT1G01060" 1924.91587013208 0.785536360551063 0.12938383336518 6.07136409642401 1.2682826844347e-09 1.81232148992963e-07
"AT1G01120" 21192.1996918844 0.737391851517424 0.151497488541394 4.86735363481582 1.13102538348563e-06 6.597397200999e-05
"AT1G01130" 165.235252679222 0.643740830127832 0.182957871561757 3.51851945277216 0.000433961998888622 0.00788443282224164
"AT1G01600" 900.206502175564 0.676507652270471 0.159599034042605 4.2387954058035 2.24722339102187e-05 0.000782396520533354
"AT1G01630" 920.028946618101 0.793608011124044 0.138759501953344 5.71930570485101 1.06960203841209e-08 1.2272497871278e-06
"AT1G01790" 1257.98662238799 0.600191572690525 0.157851909242872 3.80224462009557 0.000143391042715706 0.00334320737430854
"AT1G02810" 724.015872127866 0.700575734829746 0.208437823477844 3.36107776957388 0.000776389616211029 0.0120638205075299
"AT1G03420" 427.945138290356 0.595990802168115 0.148506842467326 4.01322115712777 5.98957474712124e-05 0.00170133140256034
"AT1G03820" 335.4150346911 1.3333124594014 0.185045341483098 7.20532842769885 5.79041122301105e-13 1.60559831198063e-10
"AT1G04240" 8082.49713971811 0.604426446962517 0.157469023571516 3.83838315151559 0.000123847125421262 0.00301741343651885
"AT1G07720" 7265.90115987118 0.828270781426117 0.171367898633446 4.83329017879702 1.34294812477086e-06 7.53733680052117e-05
"AT1G08310" 457.241531004801 1.4121247141019 0.198217891207456 7.1241032053154 1.04760526671509e-12 2.77282066730999e-10
"AT1G08650" 2384.68072058635 0.791888382440796 0.141290690087317 5.60467488658605 2.08646226232235e-08 2.19899905040779e-06
"AT1G09300" 326.927029877603 0.641139331391653 0.189553050867812 3.38237410823191 0.000718622071299764 0.0114331593474823
"AT1G09350" 58.1149033376283 1.19586366430371 0.295477810296147 4.04721986772929 5.18295528958718e-05 0.00152618703672648
"AT1G09486" 117.519663161077 1.20195726386624 0.234966972325638 5.11543070061977 3.13025858848403e-07 2.22286533667591e-05
"AT1G10060" 239.690329783126 0.720403820483199 0.189526211811155 3.80107750584397 0.000144068225210464 0.00335228481678534
"AT1G10360" 412.684908293935 0.767642316131786 0.181159444658868 4.23738501504734 2.26138164820381e-05 0.000784979155737154
"AT1G10682" 15116.9956747133 0.622874771082345 0.172524402535525 3.61035750263842 0.000305775255694494 0.00602840714675003
"AT1G11670" 1850.4404924215 0.643932472475522 0.130078824890184 4.95032510494424 7.40896122151257e-07 4.62652881424855e-05
"AT1G12013" 223.268000798935 0.655860547362545 0.171068953020063 3.83389584015065 0.000126129567679317 0.0030570342251682
"AT1G12400" 261.824010809992 0.688161639090338 0.190717953327656 3.60826879212608 0.000308247045017193 0.00604351024624618
"AT1G12805" 24.308831058531 3.54554244141188 0.648812767698715 5.46466194552186 4.63789801556432e-08 4.32103682314096e-06
"AT1G13600" 68.9620468840735 1.5733312400762 0.372430639796225 4.22449463593286 2.39477555346158e-05 0.000823915985099365
"AT1G14240" 967.314512543311 0.87845310810004 0.221089406057778 3.97329353659972 7.08856034201582e-05 0.00192881714353075
"AT1G14790" 1403.0109155244 0.607723072525882 0.126568248903774 4.80154444569991 1.57446552911895e-06 8.71079598675499e-05
"AT1G16515" 156.104976485066 0.994193551385794 0.20469943131973 4.85684569310266 1.19270466720136e-06 6.83262929871751e-05
"AT1G16930" 1024.82590100471 0.821017410080757 0.124221764137876 6.60928795995441 3.86172906604611e-11 7.43366887655753e-09
"AT1G17190" 2898.68804188967 0.740452442623501 0.146635137312347 5.04962491388585 4.4267839474262e-07 2.97143088482568e-05
"AT1G17560" 51.7812091352871 0.967725046441944 0.27784202897136 3.48300453327635 0.000495819968623276 0.00878891834792492
"AT1G17744" 22.4997687500102 1.48703697424604 0.452216372616578 3.28833068480441 0.00100783384986347 0.0144547204624507
"AT1G17970" 709.726027541157 0.627458470225587 0.170217340369407 3.68621944664316 0.00022761010353517 0.00480207838001918
"AT1G18140" 158.81529150724 0.804226494625789 0.250401170628486 3.21175213601137 0.00131928146020881 0.0174935443288195
"AT1G18290" 471.88762647058 0.615970479295012 0.142777530727702 4.31419759226514 1.60183632743339e-05 0.000595055370631237
"AT1G18630" 87.9109669592486 0.772697454158235 0.233287948828235 3.31220475827989 0.000925637706164875 0.0135682526444256
"AT1G18990" 123.921016242805 1.86429877750404 0.263876645313067 7.06503895140932 1.60570946568087e-12 4.06523748637379e-10
"AT1G19380" 407.188781941296 0.602196561932697 0.168855462492151 3.56634338649654 0.000361996979471531 0.00686615117740301
"AT1G21140" 79.0800529901081 0.788293144333376 0.278425968737037 2.83124863642978 0.00463666621694494 0.042856043462334
"AT1G21150" 48.3621791448123 1.06249479068544 0.328863444729672 3.23080843344817 0.0012344064181257 0.0166967446521393
"AT1G22190" 5490.52050412621 0.687236444086209 0.125001356603168 5.49783188568044 3.84489214919755e-08 3.68540032671231e-06
"AT1G22500" 2570.33908456425 0.695039021661041 0.23577247921986 2.94792260725609 0.00319917145358017 0.0325109517874299
"AT1G23850" 307.502191325199 0.595524696652641 0.14745001440933 4.03882426894466 5.37197911615428e-05 0.00156405171966832
"AT1G24020" 49.8362769138175 1.33449485666165 0.295090592337805 4.52232260638791 6.11647419279223e-06 0.000269819918368403
"AT1G26440" 1746.55428119192 0.612941552388465 0.131267621426956 4.66940396820962 3.02074863478933e-06 0.000151486526038307
"AT1G26940" 622.359342818592 0.812546941365846 0.128889529394623 6.30421218218631 2.89663449946805e-10 4.81917219725784e-08
"AT1G27030" 8275.3275334907 0.60830181306025 0.182091980325717 3.3406293455217 0.000835887345605918 0.0127501558964329
"AT1G27590" 821.886911199542 0.582671902147389 0.0937174307487877 6.21732688883947 5.05695566546752e-10 7.90514170201808e-08
"AT1G27610" 21.3652185405948 1.52642708282594 0.484770134916706 3.1487646884192 0.00163962163256849 0.020400676851381
"AT1G28450" 46.9914281936442 1.81562472298298 0.404071822534478 4.49332178520827 7.012070548509e-06 0.000303015115428333
"AT1G28620" 106.074039781116 0.982950510663083 0.330005204145415 2.97859093831124 0.00289577085769238 0.0303533395415934
"AT1G28765" 330.203324192837 1.08203208131331 0.167645872248154 6.45427213210269 1.08740257965419e-10 1.96339386707793e-08
"AT1G29430" 605.517288263991 0.841317284320524 0.24029381839608 3.50120236107684 0.000463164008623398 0.00829847391450475
"AT1G29440" 899.02478132284 0.799085392252458 0.185774640829504 4.30136959858706 1.69745656861753e-05 0.000622632415688811
"AT1G29450" 952.902105922765 0.683223721453874 0.214193219190211 3.18975420434364 0.00142393845875927 0.0184683295838492
"AT1G29460" 881.173846000934 0.582137487674907 0.190625035417308 3.05383543352801 0.00225935982319079 0.0256832645201366
"AT1G29500" 1682.07465941848 0.799871659859039 0.188331713531516 4.2471426870185 2.16514077990145e-05 0.00076064040792556
"AT1G29640" 841.06890015189 0.608517130307189 0.13717705535197 4.43599790610647 9.16467384224892e-06 0.000379949153051825
"AT1G30260" 275.428543850159 0.986388904259457 0.200020680549645 4.93143459740723 8.16278986418933e-07 5.01656204529546e-05
"AT1G30480" 351.629747080738 1.86956901729385 0.225632059939609 8.2859191986912 1.17200335755236e-16 5.93441352263253e-14
"AT1G30680" 394.264973370095 0.667617825902346 0.140499601817406 4.75174176486267 2.01671833298316e-06 0.00010651565399511
"AT1G30935" 151.386171267673 0.77026106202176 0.173656404188117 4.43554653583266 9.18389889954394e-06 0.000379949153051825
"AT1G30940" 18.5376229786634 1.64373496019673 0.49713440989182 3.30641960703226 0.000944964622395099 0.0137934972651528
"AT1G31173" 948.781293911582 0.944728543749142 0.191914926769572 4.92264233768256 8.5383418835298e-07 5.21981782549019e-05
"AT1G31310" 208.541959193664 0.581486506761517 0.172727207495164 3.36650210001107 0.00076128002563504 0.0119164881432065
"AT1G31840" 58.8519470045581 0.80670624251308 0.285186028900765 2.82870183235304 0.00467372202776791 0.0430139373920945
"AT1G32070" 603.338075887343 0.833032708958568 0.122905775778855 6.77781579978348 1.22006259907994e-11 2.63126833868241e-09
"AT1G32270" 130.647622021728 0.761139417288683 0.236487056030405 3.21852464174963 0.00128851898890161 0.017208821266913
"AT1G33260" 110.746215227907 1.17482020022272 0.263724417369488 4.45472668758141 8.40001340036541e-06 0.000355087317824521
"AT1G33320" 25.7094432591699 1.35446508763154 0.449021017080415 3.01648483280009 0.00255724010910929 0.027886191793875
"AT1G33440" 552.189226791826 0.584180634903972 0.174162304385188 3.35423119811254 0.000795858357849151 0.0123006853822312
"AT1G34040" 220.929463234907 0.75053918932112 0.16787695241354 4.47076968297756 7.7938596301999e-06 0.00033309096973691
"AT1G34440" 33.3453159839975 4.34772605221626 0.582221942478262 7.46747199823817 8.17501152653836e-14 2.60838860926207e-11
"AT1G35612" 2287.16734893453 0.705772748617323 0.123905656147089 5.69604948283795 1.2261530389661e-08 1.39314910163895e-06
"AT1G36340" 156.524206096182 0.752869703943434 0.263570588916449 2.85642532058875 0.00428440779720771 0.0403364698514802
"AT1G43775" 359.273713541517 1.12048864221027 0.161858921064544 6.92262517778341 4.43349724928723e-12 1.02242592010295e-09
"AT1G43800" 43.0187091711504 2.00009181749399 0.70375804318401 2.8420162822509 0.00448292020115337 0.0417349489979279
"AT1G43883" 10.073834930664 3.15580590675817 0.941896500992909 3.35048055007259 0.000806714745277274 0.0124222676980246
"AT1G44090" 25.0620816317317 1.77097026178298 0.636773199820239 2.78116331259375 0.00541644817440666 0.0478059533453126
"AT1G45191" 47.7961045013718 1.04028141115724 0.296851637240934 3.50438158544807 0.000457669055115116 0.00823804299207209
"AT1G45201" 275.351099644108 1.07741390370754 0.315161028203247 3.41861400138826 0.000629409452733942 0.0104354207394139
"AT1G47565" 526.974133455394 0.702404771261769 0.125591337491588 5.59278040421233 2.23461848460708e-08 2.31327705526525e-06
"AT1G47610" 93.8210189641233 1.22527507954675 0.317772627669314 3.85582322975223 0.000115340815474682 0.00286714863824577
"AT1G47655" 261.8547717035 0.686600986686024 0.152387195843023 4.50563436703243 6.61749487600157e-06 0.000288102225517437
"AT1G47820" 150.986434223088 0.631454825949194 0.17891797220875 3.52929791319372 0.000416663794048333 0.00766363905914886
"AT1G48430" 1606.76275365233 0.607692999639455 0.074683684359628 8.13689100705318 4.05557509727816e-16 1.81658567626544e-13
"AT1G48690" 196.071317027693 0.903580880310547 0.224459186743737 4.02559099237117 5.68323982954445e-05 0.00163829235284343
"AT1G48745" 262.241613010398 0.728460843981556 0.188346409275993 3.86766515370149 0.000109882407165462 0.0027549849598471
"AT1G49450" 166.065922668303 0.874857795913264 0.23326452799854 3.75049650034548 0.000176484768404839 0.00392240765809687
"AT1G49570" 2787.10316483681 0.807458432904696 0.181810083281987 4.44121920153531 8.94506169164531e-06 0.000372050673074647
"AT1G49590" 952.513293644327 0.589500819936369 0.0959685940289051 6.14264307924336 8.1159514404842e-10 1.23553425458665e-07
"AT1G49700" 5714.659746433 1.05869786411257 0.123219076603488 8.59199641236889 8.54710586868886e-18 4.97697974733752e-15
"AT1G50390" 40.7907211504444 1.37539344923225 0.392516487104101 3.50403994333994 0.000458256616756616 0.00824224951157924
"AT1G50400" 63.1032020527999 1.10014046230502 0.330707359844116 3.3266283000886 0.000879035427440892 0.0131884286311091
"AT1G50790" 200.866188795101 0.792361740430284 0.194410491389608 4.07571492035558 4.58731909824261e-05 0.00140104721536777
"AT1G52290" 339.001326892794 0.667133731170275 0.166668070635831 4.00276866843895 6.26055099698844e-05 0.00176538442883601
"AT1G52342" 4339.30066002619 0.625276297690281 0.133756315636762 4.67474223339347 2.94323055980084e-06 0.000148384688742167
"AT1G52618" 166.956085489866 0.609943887138668 0.163499829653689 3.73054753898275 0.00019106408604138 0.0041865142916988
"AT1G52827" 962.848665566804 0.637110391976391 0.120867915604084 5.27112913954199 1.35587024721721e-07 1.06219771767145e-05
"AT1G53350" 183.028100314294 0.828463651460018 0.183983839525554 4.50291532993555 6.70275927464015e-06 0.000290727502839699
"AT1G53480" 1025.09338887184 3.78263713388191 0.118546573768296 31.908447571629 2.0387168319637e-223 4.74857924500986e-219
"AT1G53490" 314.381660205487 1.5694141888036 0.176477863478725 8.89298044450092 5.9491286792031e-19 4.46990661922576e-16
"AT1G55120" 351.979531266775 0.656034211684247 0.123722403513449 5.30246901979184 1.14246859377678e-07 9.27190888022604e-06
"AT1G55240" 3154.02700196144 0.916853613182641 0.253062178803507 3.62303690546561 0.000291164260123477 0.00580633385855824
"AT1G55320" 94.3093315638136 0.760944616773615 0.229721786230413 3.31246169229408 0.000924787900618854 0.0135682526444256
"AT1G56520" 91.6199007905332 1.35993075239584 0.271952360510742 5.00062124793406 5.71458767044055e-07 3.66678170853723e-05
"AT1G56540" 539.576535075788 0.691080213239705 0.146661560158636 4.71207460558992 2.45207569489444e-06 0.000127486042601521
"AT1G56612" 551.250659471856 0.590453886963967 0.121992695095213 4.84007576439827 1.29789638144641e-06 7.337524882682e-05
"AT1G59740" 79.2474417075097 0.750166534121859 0.24053775650227 3.11870595714473 0.0018164713974704 0.0220016909983778
"AT1G59970" 401.007674358435 0.618153931094374 0.133812537702687 4.61955166314703 3.84570117924532e-06 0.000185838323375481
"AT1G60900" 3291.31129068181 0.643406003390125 0.0914004550165267 7.03941794681204 1.9304452133831e-12 4.8348311731311e-10
"AT1G61275" 386.690193464315 0.890919137941142 0.244993742170378 3.6364975286657 0.000276370293471888 0.00558786187113473
"AT1G62035" 265.743427230271 0.620044719109638 0.177701807505658 3.48924261273987 0.000484391293219544 0.00861913063534731
"AT1G62085" 302.902511128076 0.639593956098329 0.136938324373496 4.67067169855133 3.0021642428514e-06 0.000151028962299125
"AT1G62370" 673.345978218753 0.791746487466952 0.170788318326087 4.63583513923515 3.55499225923426e-06 0.000175416805065329
"AT1G62975" 467.359272633469 0.99610039110893 0.1408768082747 7.07071946978385 1.54132452234237e-12 3.98894786382205e-10
"AT1G63410" 202.856187643325 0.680915789178923 0.234817907333882 2.89976091223206 0.00373447394311537 0.0364557280314514
"AT1G64370" 2601.04962195515 0.594067327441971 0.137951631710059 4.30634505788635 1.65974088859415e-05 0.000613629917097379
"AT1G64380" 2113.74378404446 0.678595707851479 0.174212995319349 3.89520716642032 9.81148344027324e-05 0.0025279764633943
"AT1G64480" 72.1282437145933 2.02940692682936 0.316033371697654 6.42149566651106 1.34941855929589e-10 2.38111038508484e-08
"AT1G65120" 72.2150429664394 0.889841376070942 0.293972204638114 3.02695752194108 0.00247028669717881 0.0271918325853917
"AT1G65310" 10466.7486111429 0.707425643116313 0.19921246778323 3.55111128830594 0.000383608174768554 0.00718825551625837
"AT1G65370" 313.253174310933 0.714352987588935 0.142816180067862 5.00190515703121 5.67665174577463e-07 3.66261973580561e-05
"AT1G65985" 1222.79795424297 0.841895054230632 0.149814189291244 5.61959490094733 1.91405719404919e-08 2.02646455289971e-06
"AT1G66280" 10250.2890526085 0.637370475640116 0.165483638682699 3.85156188680515 0.000117366860432134 0.00289894900655915
"AT1G66345" 250.746832239321 0.667977428274086 0.144384112840306 4.6263914715665 3.72091701214559e-06 0.000181693079762883
"AT1G66460" 52.0053932319609 1.84497909883908 0.481688242694855 3.8302348600355 0.000128021010712631 0.00307970007128005
"AT1G67030" 1955.02368978456 0.633312678464478 0.164137719195102 3.85842255863012 0.000114121215871837 0.00284289985036024
"AT1G67105" 1029.8689565008 2.86733661980756 0.190876176165178 15.0219722409268 5.2715584638269e-51 2.45570279478912e-47
"AT1G67328" 62.2692226946894 1.45524288177895 0.48504683529844 3.00021106391419 0.00269792584889284 0.0288812461854914
"AT1G67940" 433.580562537897 0.681973245665094 0.137419355379502 4.96271608742258 6.95141594815838e-07 4.37601027741906e-05
"AT1G68350" 138.661278177287 0.703611554447812 0.221522479413976 3.17625351751738 0.0014919051020525 0.0191562588958141
"AT1G68530" 25882.352834216 0.703244914771607 0.138173822658094 5.08956690379597 3.58882225776123e-07 2.49524919485894e-05
"AT1G68880" 43.9399838587132 1.20302263530973 0.409237488688075 2.9396686974264 0.00328563356263347 0.0331581355896269
"AT1G69310" 475.460552773109 0.70652416332133 0.18824591623846 3.7531978246282 0.000174592963282038 0.00389115737215375
"AT1G70830" 49722.8955437119 0.782506941590493 0.115170647758304 6.79432613101782 1.08819966007638e-11 2.39116476249991e-09
"AT1G70850" 23366.7220950591 0.904652993634425 0.156013792897246 5.79854496730459 6.68927671615346e-09 8.16927372972584e-07
"AT1G70880" 104.385946167221 1.27383331909993 0.393182040373985 3.23980545471582 0.0011961127753375 0.0163245617619906
"AT1G70885" 294.506729259941 0.943128605409815 0.197636932318909 4.77202613066253 1.82381834828845e-06 9.76560390076655e-05
"AT1G70890" 3429.24081446344 1.13901432489531 0.15760329634862 7.22709709304427 4.93427343256316e-13 1.40157435111294e-10
"AT1G71015" 65.0551900070145 1.1140243138948 0.381278516024504 2.92181244700188 0.00348001029733541 0.0345951343770962
"AT1G71030" 3755.47073280726 0.62809042060489 0.156685461153953 4.00860689932012 6.10779895156365e-05 0.00172649093664831
"AT1G71990" 183.507069219262 0.607379969040425 0.199409209377056 3.04589728296826 0.00231987073096484 0.0261035889205956
"AT1G72140" 2533.58484740538 0.711187368171936 0.249431275127664 2.85123574743358 0.00435496678279716 0.0408850811386181
"AT1G72200" 1908.76109488783 0.686743823510142 0.182931141596258 3.75411106888423 0.000173957720725694 0.00388105673481117
"AT1G72510" 8151.7668587725 0.698266094032969 0.168735308690733 4.13823342281484 3.49990205857328e-05 0.00113064797154354
"AT1G73330" 2190.7384530704 0.998564583505429 0.285155217494366 3.50182820528317 0.000462077460664561 0.00829176287657855
"AT1G73650" 362.949345711648 0.678983761840468 0.135497528888585 5.01104165817498 5.41361926853924e-07 3.51236824520379e-05
"AT1G74660" 1556.74567220507 0.640833258897841 0.156361726088034 4.09840230682182 4.16011754185562e-05 0.00129024577609722
"AT1G74770" 1175.65009075956 0.993016827936246 0.226522642903461 4.38374201893559 1.1665791333098e-05 0.000458985830625876
"AT1G75750" 21202.8536212656 0.745113228758019 0.152619351167577 4.88216745162203 1.04926094009269e-06 6.23453719812218e-05
"AT1G76210" 18.0766819236502 1.89730557875119 0.502891017226628 3.77279671690013 0.0001614278110328 0.00366826982885461
"AT1G76220" 652.380402504517 0.850940230156761 0.188100091486407 4.5238693050729 6.07192271114767e-06 0.000269385188167717
"AT1G76230" 106.532835558454 0.863621087333298 0.309007168140773 2.79482541628245 0.00519277495217381 0.0465371735998586
"AT1G77885" 1116.69867902245 0.652737702758638 0.0888621049627534 7.34551249975716 2.04972171716756e-13 6.04330610585655e-11
"AT1G78930" 174.464519799247 0.612615440636359 0.193261911728347 3.16987157561323 0.00152506325999647 0.0193896143296058
"AT1G79130" 59.3894158163725 1.16143481940764 0.36328448836419 3.19703939091204 0.00138845964360922 0.0181176481898857
"AT1G79330" 152.513376153079 0.741801570017899 0.258307718958517 2.87177469186288 0.0040817386715193 0.0389416992270691
"AT2G01130" 885.57021879647 0.84537585757708 0.097091285241598 8.70702098003422 3.11965371280224e-18 2.07608497938828e-15
"AT2G01520" 256.274859079317 1.38603564012805 0.27716769204573 5.00071141011402 5.71191567056633e-07 3.66678170853723e-05
"AT2G01530" 9062.31008956095 0.687346828650112 0.179384137480376 3.83170350681262 0.000127259046637338 0.00307481090692621
"AT2G01880" 266.730565088088 1.265423501628 0.268581788935797 4.71150150068625 2.45898286256691e-06 0.000127560420567725
"AT2G01890" 4285.11199021432 0.853405523175118 0.160800990515728 5.30721558640924 1.11312496674191e-07 9.06535200187151e-06
"AT2G01905" 66.5500842330264 0.991245068754189 0.275488300580067 3.59813852953837 0.000320502903832342 0.0062417672542332
"AT2G02960" 3337.24517855532 0.597036518438195 0.11418033644604 5.22889086703949 1.7052998540098e-07 1.29380599998685e-05
"AT2G04570" 3475.5386682118 0.685022095612741 0.0953033052031644 7.18781047679757 6.58385634807568e-13 1.80413155363975e-10
"AT2G04800" 841.859380817114 0.961467310138737 0.112363194060561 8.55678158828884 1.160621243128e-17 6.59346097437498e-15
"AT2G05240" 1587.21601845456 0.815973165549878 0.107285094833758 7.60565264740881 2.83469698823879e-14 9.70967091912616e-12
"AT2G05280" 83.624293733533 0.909181149459531 0.299237816804737 3.03832302737592 0.00237898791441918 0.0265126251208859
"AT2G05540" 64920.3593723174 0.749445020245271 0.142453241260041 5.26098959641922 1.43282142089897e-07 1.11616309483541e-05
"AT2G07042" 125.441943960204 0.761421577309665 0.227259565411487 3.35044897199815 0.000806806729760497 0.0124222676980246
"AT2G12490" 2927.07488047666 0.720005686694976 0.100200336973149 7.18566133053945 6.68826460934461e-13 1.8114309218704e-10
"AT2G13547" 64.6905854225207 2.42561867693144 0.343263607182326 7.06634384239591 1.59068987674327e-12 4.06523748637379e-10
"AT2G14115" 90.9105681735956 0.971196854184915 0.23898625241359 4.06381892002791 4.8276283687318e-05 0.00145654300472152
"AT2G14210" 723.75496909021 0.936534456175202 0.240233111353907 3.89844035610694 9.68142397816118e-05 0.00249999697671098
"AT2G15400" 13.3280388406805 2.12118626185919 0.68140313013644 3.11296817998834 0.00185215985912319 0.0223757818665443
"AT2G16060" 245.513238787566 1.2903060805081 0.412792865891962 3.12579549484222 0.00177324818904495 0.0216216787418032
"AT2G16580" 159.447651904249 0.693217912181936 0.199601861953122 3.47300323453267 0.000514669152623468 0.00901328864880136
"AT2G17036" 463.457606257046 0.741746948911358 0.169030218506793 4.38825054752886 1.1426609565004e-05 0.000454178481208317
"AT2G17620" 67.7381406073312 0.774611677910786 0.278719235160476 2.77918270500704 0.00544958640790718 0.0480256400351775
"AT2G17710" 7473.95165708428 0.709909238359984 0.136655582347789 5.1948791711506 2.04852846509072e-07 1.51684221984799e-05
"AT2G17850" 13.4785750865415 2.20099372441159 0.672572149619087 3.27250202919958 0.00106600107354819 0.0150298408021093
"AT2G18010" 497.468779193019 0.632851127032648 0.207415020464233 3.05113451097326 0.00227978416883511 0.025807538321267
"AT2G18050" 9798.61908702442 0.663147489147927 0.073463350675048 9.02691591187069 1.76578007057343e-19 1.41822584151022e-16
"AT2G18150" 293.542551828028 1.56779309781556 0.250026523453927 6.27050712923447 3.59874071552792e-10 5.82096310736641e-08
"AT2G18650" 190.377185713407 0.836768111949734 0.195835620307897 4.27280854542268 1.93026184306015e-05 0.000694894263501655
"AT2G19385" 231.558213450647 0.587256620866417 0.146184135686805 4.01723906706672 5.88839792407349e-05 0.00168285355150331
"AT2G20080" 2801.35257583781 0.71599126188365 0.141604850355035 5.0562622684781 4.27553254928885e-07 2.90337329848501e-05
"AT2G20815" 349.78398927569 0.92222327223167 0.215330337269478 4.28283020370483 1.84530989461685e-05 0.000670915203120932
"AT2G21185" 466.4945306035 0.659145547557589 0.16981399474961 3.88157376857835 0.000103782660076123 0.00263318576120294
"AT2G21630" 200.313431152313 0.725612571696352 0.181872733802295 3.98967209942051 6.61646982854796e-05 0.00183029471789239
"AT2G22710" 201.572756773404 1.47709997016163 0.189256654728936 7.80474521372688 5.96218730361692e-15 2.35375028264145e-12
"AT2G23140" 2023.67422145425 0.782413188368532 0.0793917734003474 9.85509146423865 6.51573431766312e-23 8.92732257217702e-20
"AT2G24040" 1128.76796414819 0.748859462565405 0.144605004582177 5.17865522517125 2.2349107154892e-07 1.6318351217923e-05
"AT2G24130" 123.311632309717 0.958529097569483 0.272129695400218 3.5223245157416 0.000427780147115188 0.00780078511925913
"AT2G24945" 122.208194519487 0.969438313647995 0.215053113411627 4.50790178420909 6.54718688415581e-06 0.000285575050385313
"AT2G25160" 983.449044541999 1.13126596384001 0.169691736757827 6.66659429300603 2.61807507735725e-11 5.20932365319896e-09
"AT2G25590" 3491.48684515457 0.663908156219147 0.0862940241517814 7.69355888481232 1.4309780307351e-14 5.37586133740032e-12
